6/12 0:57:28|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://10.10.30.2:81/tours/index.htm
6/12 0:57:28|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324448354
6/12 0:57:28|Utils|convertToSecond method called|time = 17483.0
6/12 0:57:28|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324448354
6/12 0:57:28|Utils|convertToSecond method called|time = 17483.0
6/12 0:57:28|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\sande\Desktop\recorder\scripts\default/default/sandeep\dump\flow\10.10.30.2_81/tours/
6/12 0:57:28|ChromeBrowserNavigationListener|onFinishLoadingFrame|Method Called for URL=http://10.10.30.2:81/tours/index.htm
6/12 0:57:28|Utils|getURLTracker|urlString = http://10.10.30.2:81/tours/index.htm, requestOrResponce = snapShot
6/12 0:57:28|ChromeCClickListener|addAllHTMLElementsListeners|Method Called.
6/12 0:57:28|WebCFormattor||constructor called.
6/12 0:57:28|ProgressBar|setVisible|Method Called. bool = false
6/12 0:57:28|ScriptHTMLStart|Recording|Thread state =2
6/12 0:57:28|ScriptHTMLStart|run|Setting thread state.State of Thread - 2
6/12 0:57:40|ChromeMainFrame|addBrowserDisposeListener|browser disposed called.
6/12 0:57:40|WebCFormattor|generateScripts|method called.
6/12 0:57:40|Utils|addLastPageLeftUrlsToInlineUrlsOfLastPage|Method called.
6/12 0:57:40|Utils|modifyMapForSplit|Method called.
6/12 0:57:40|Utils|modifyMapForSplit|Before Modify URL Map Size :1
6/12 0:57:40|Utils|modifyMapForThinkTime|Method called.
6/12 0:57:40|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 0
6/12 0:57:40|Utils|modifyMapForThinkTime|Modifying url list for last page=index_htm, startThink=17.483, endThink=0.0
6/12 0:57:40|Utils|modifyMapForSplit|After Modify URL Map Size :1
6/12 0:57:40|Utils|generateEventDetail|method called.
6/12 0:57:40|Utils|getTimeStampForPage|Method called.
6/12 0:57:40|Utils|generateUrlInfoListDetail|method called
6/12 0:57:40|Utils|getTimeStampForPage|Method called.
